Student Names,Gender,Maths,Science,English,Overall_Total,Attendence,Total_marks_obtained,Percentage,Grade
Nahar singh,Male,76,58,62,300,50,196,,
Smith,Male,65,55,67,300,56,187,,
Sparsh sood,Male,45,66,85,300,76,196,,
Badshya khan,Male,88,86,89,300,90,263,,
Gajender singh,Male,85,91,95,300,95,271,,
Pooran chand sharma,Male,78,65,76,300,80,219,,
Mohd ataullah,Male,96,87,69,300,88,252,,
Johnson,Male,69,79,55,300,83,203,,
Williams,Male,45,72,60,300,55,177,,
Vansu dev,Female,55,84,62,300,58,201,,
Brown,Female,85,60,75,300,71,220,,
Shakshi sagar,Female,98,50,92,300,98,240,,
Davis,Male,65,40,89,300,88,194,,
Reena datta,Female,74,53,52,300,45,179,,
Riya masi,Female,62,56,66,300,48,184,,
Miller,Male,66,80,73,300,52,219,,
Kanika kathuria,Female,63,63,77,300,63,203,,
Anjali juneja,Female,95,66,87,300,68,248,,
Aanamika misra,Female,85,96,54,300,62,235,,
Jones,Male,45,55,65,300,65,165,,
